"","N","L","a","p","S","d","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","diam","cl","mu","te","si","apl"
"646",2,2,Inf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NA,2,0,0,1
"647",2,1,Inf,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1
"648",11,11,1.81151596050004,0.985476960134988,0.759547391474863,0.1,1,9,0,1,0,0,0,0,1,0,0,0,0,8,0.214285714285714,0,0.0737525567690121,0.478260869565217,3.46551724137931
"649",10,13,2.45514222391639,0.819861407986192,1.35923670066501,0.144444444444444,2,9,3,0,0,0,3,0,0,0,0,0,0,10,0,4,0.23886189228056,1.42486991797073,3.17283950617284
"650",2,2,Inf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,2,0,0,1
"651",2,2,Inf,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA,2,0,0,1
"652",3,3,NA,1,1.09861228866811,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0.333333333333333,0,1.25
"653",6,5,2.92359338785195,0.819861407986192,0.636514168294813,0.166666666666667,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2.33333333333333
"654",2,1,Inf,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,1
"655",47,58,2.07136090988215,0.530986142129019,0.820633619732137,0.0268270120259019,13,78,6,12,1,0,6,1,0,0,0,0,0,21,0.0252100840336134,4,0.11417859650027,4.03772907651355,7.74647177419355
"656",15,14,1.71232598710854,0.819861407986192,0.392674467227552,0.0666666666666667,0,13,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,5.33333333333333
"657",9,9,2.15627127033194,0.765763173908239,0.683738905848754,0.125,0,9,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0.53030303030303,3.70175438596491
"658",6,9,2.25574890974031,0.700036232465194,1.01140426470735,0.3,1,4,1,0,0,0,2,1,0,1,0,0,0,5,0.25,4,0.390316864818223,1.11900590319845,2.1
